,label
mouse1_lib1.final_cell_0272,9
mouse1_lib1.final_cell_0273,9
mouse1_lib1.final_cell_0274,9
mouse1_lib1.final_cell_0275,8
mouse1_lib1.final_cell_0276,8
mouse1_lib1.final_cell_0277,9
mouse1_lib2.final_cell_0001,11
mouse1_lib2.final_cell_0002,7
mouse1_lib2.final_cell_0003,3
mouse1_lib2.final_cell_0004,2
mouse1_lib2.final_cell_0005,11
mouse1_lib2.final_cell_0006,11
mouse1_lib2.final_cell_0007,9
mouse1_lib2.final_cell_0008,11
mouse1_lib2.final_cell_0009,2
mouse1_lib2.final_cell_0010,7
mouse1_lib2.final_cell_0011,9
mouse1_lib2.final_cell_0012,9
mouse1_lib2.final_cell_0013,9
mouse1_lib2.final_cell_0014,12
mouse1_lib2.final_cell_0015,11
mouse1_lib2.final_cell_0016,9
mouse1_lib2.final_cell_0017,9
mouse1_lib2.final_cell_0018,8
mouse1_lib2.final_cell_0019,11
mouse1_lib2.final_cell_0020,9
mouse1_lib2.final_cell_0021,9
mouse1_lib2.final_cell_0022,9
mouse1_lib2.final_cell_0023,9
mouse1_lib2.final_cell_0024,9
mouse1_lib2.final_cell_0025,11
mouse1_lib2.final_cell_0026,9
mouse1_lib2.final_cell_0027,9
mouse1_lib2.final_cell_0028,9
mouse1_lib2.final_cell_0029,9
mouse1_lib2.final_cell_0030,9
mouse1_lib2.final_cell_0031,8
mouse1_lib2.final_cell_0032,11
mouse1_lib2.final_cell_0033,11
mouse1_lib2.final_cell_0034,11
mouse1_lib2.final_cell_0035,8
mouse1_lib2.final_cell_0036,9
mouse1_lib2.final_cell_0037,11
mouse1_lib2.final_cell_0038,11
mouse1_lib2.final_cell_0039,11
mouse1_lib2.final_cell_0040,9
mouse1_lib2.final_cell_0041,11
mouse1_lib2.final_cell_0042,11
mouse1_lib2.final_cell_0043,9
mouse1_lib2.final_cell_0044,11
mouse1_lib2.final_cell_0045,9
mouse1_lib2.final_cell_0046,8
mouse1_lib2.final_cell_0047,9
mouse1_lib2.final_cell_0048,8
mouse1_lib2.final_cell_0049,11
mouse1_lib2.final_cell_0050,8
mouse1_lib2.final_cell_0051,9
mouse1_lib2.final_cell_0052,9
mouse1_lib2.final_cell_0053,11
mouse1_lib2.final_cell_0054,9
mouse1_lib2.final_cell_0055,8
mouse1_lib2.final_cell_0056,8
mouse1_lib2.final_cell_0057,5
mouse1_lib2.final_cell_0058,11
mouse1_lib2.final_cell_0059,9
mouse1_lib2.final_cell_0060,11
mouse1_lib2.final_cell_0061,11
mouse1_lib2.final_cell_0062,11
mouse1_lib2.final_cell_0063,11
mouse1_lib2.final_cell_0064,3
mouse1_lib2.final_cell_0065,11
mouse1_lib2.final_cell_0066,9
mouse1_lib2.final_cell_0067,11
mouse1_lib2.final_cell_0068,9
mouse1_lib2.final_cell_0069,8
mouse1_lib2.final_cell_0070,11
mouse1_lib2.final_cell_0071,9
mouse1_lib2.final_cell_0072,9
mouse1_lib2.final_cell_0073,11
mouse1_lib2.final_cell_0074,11
mouse1_lib2.final_cell_0075,11
mouse1_lib2.final_cell_0076,11
mouse1_lib2.final_cell_0077,9
mouse1_lib2.final_cell_0078,8
mouse1_lib2.final_cell_0079,6
mouse1_lib2.final_cell_0080,11
mouse1_lib2.final_cell_0081,9
mouse1_lib2.final_cell_0082,11
mouse1_lib2.final_cell_0083,9
mouse1_lib2.final_cell_0084,11
mouse1_lib2.final_cell_0085,11
mouse1_lib2.final_cell_0086,3
mouse1_lib2.final_cell_0087,11
mouse1_lib2.final_cell_0088,6
mouse1_lib2.final_cell_0089,11
mouse1_lib2.final_cell_0090,11
mouse1_lib2.final_cell_0091,11
mouse1_lib2.final_cell_0092,11
mouse1_lib2.final_cell_0093,12
mouse1_lib2.final_cell_0094,11
mouse1_lib2.final_cell_0095,8
mouse1_lib2.final_cell_0096,11
mouse1_lib2.final_cell_0097,11
mouse1_lib2.final_cell_0098,11
mouse1_lib2.final_cell_0099,6
mouse1_lib2.final_cell_0100,9
mouse1_lib2.final_cell_0101,11
mouse1_lib2.final_cell_0102,8
mouse1_lib2.final_cell_0103,11
mouse1_lib2.final_cell_0104,11
mouse1_lib2.final_cell_0105,3
mouse1_lib2.final_cell_0106,6
mouse1_lib2.final_cell_0107,9
mouse1_lib2.final_cell_0108,11
mouse1_lib2.final_cell_0109,11
mouse1_lib2.final_cell_0110,9
mouse1_lib2.final_cell_0111,11
mouse1_lib2.final_cell_0112,11
mouse1_lib2.final_cell_0113,3
mouse1_lib2.final_cell_0114,12
mouse1_lib2.final_cell_0115,11
mouse1_lib2.final_cell_0116,11
mouse1_lib2.final_cell_0117,9
mouse1_lib2.final_cell_0118,11
mouse1_lib2.final_cell_0119,8
mouse1_lib2.final_cell_0120,11
mouse1_lib2.final_cell_0121,3
mouse1_lib2.final_cell_0122,11
mouse1_lib2.final_cell_0123,3
mouse1_lib2.final_cell_0124,8
mouse1_lib2.final_cell_0125,11
mouse1_lib2.final_cell_0126,11
mouse1_lib2.final_cell_0127,9
mouse1_lib2.final_cell_0128,1
mouse1_lib2.final_cell_0129,1
mouse1_lib2.final_cell_0130,9
mouse1_lib2.final_cell_0131,11
mouse1_lib2.final_cell_0132,8
mouse1_lib2.final_cell_0133,11
mouse1_lib2.final_cell_0134,11
mouse1_lib2.final_cell_0135,3
mouse1_lib2.final_cell_0136,9
mouse1_lib2.final_cell_0137,11
mouse1_lib2.final_cell_0138,3
mouse1_lib2.final_cell_0139,8
mouse1_lib2.final_cell_0140,1
mouse1_lib2.final_cell_0141,9
mouse1_lib2.final_cell_0142,6
mouse1_lib2.final_cell_0143,12
mouse1_lib2.final_cell_0144,9
mouse1_lib2.final_cell_0145,11
mouse1_lib2.final_cell_0146,11
mouse1_lib2.final_cell_0147,11
mouse1_lib2.final_cell_0148,11
mouse1_lib2.final_cell_0149,11
mouse1_lib2.final_cell_0150,3
mouse1_lib2.final_cell_0151,9
mouse1_lib2.final_cell_0152,11
mouse1_lib2.final_cell_0153,9
mouse1_lib2.final_cell_0154,3
mouse1_lib2.final_cell_0155,3
mouse1_lib2.final_cell_0156,11
mouse1_lib2.final_cell_0157,11
mouse1_lib2.final_cell_0158,8
mouse1_lib2.final_cell_0159,11
mouse1_lib2.final_cell_0160,3
mouse1_lib2.final_cell_0161,11
mouse1_lib2.final_cell_0162,3
mouse1_lib2.final_cell_0163,11
mouse1_lib2.final_cell_0164,2
mouse1_lib2.final_cell_0165,9
mouse1_lib2.final_cell_0166,11
mouse1_lib2.final_cell_0167,12
mouse1_lib2.final_cell_0168,9
mouse1_lib2.final_cell_0169,11
mouse1_lib2.final_cell_0170,8
mouse1_lib2.final_cell_0171,9
mouse1_lib2.final_cell_0172,11
mouse1_lib2.final_cell_0173,11
mouse1_lib2.final_cell_0174,11
mouse1_lib2.final_cell_0175,11
mouse1_lib2.final_cell_0176,11
mouse1_lib2.final_cell_0177,11
mouse1_lib2.final_cell_0178,11
mouse1_lib2.final_cell_0179,8
mouse1_lib2.final_cell_0180,11
mouse1_lib2.final_cell_0181,9
mouse1_lib2.final_cell_0182,11
mouse1_lib2.final_cell_0183,8
mouse1_lib2.final_cell_0184,11
mouse1_lib2.final_cell_0185,11
mouse1_lib2.final_cell_0186,6
mouse1_lib2.final_cell_0187,11
mouse1_lib2.final_cell_0188,3
mouse1_lib2.final_cell_0189,11
mouse1_lib2.final_cell_0190,11
mouse1_lib2.final_cell_0191,11
mouse1_lib2.final_cell_0192,11
mouse1_lib2.final_cell_0193,11
mouse1_lib2.final_cell_0194,9
mouse1_lib2.final_cell_0195,11
mouse1_lib2.final_cell_0196,11
mouse1_lib2.final_cell_0197,11
mouse1_lib2.final_cell_0198,1
mouse1_lib2.final_cell_0199,11
mouse1_lib2.final_cell_0200,8
mouse1_lib2.final_cell_0201,6
mouse1_lib2.final_cell_0202,8
mouse1_lib2.final_cell_0203,11
mouse1_lib2.final_cell_0204,11
mouse1_lib2.final_cell_0205,9
mouse1_lib2.final_cell_0206,8
mouse1_lib2.final_cell_0207,11
mouse1_lib2.final_cell_0208,11
mouse1_lib2.final_cell_0209,11
mouse1_lib2.final_cell_0210,3
mouse1_lib2.final_cell_0211,11
mouse1_lib2.final_cell_0212,12
mouse1_lib2.final_cell_0213,3
mouse1_lib2.final_cell_0214,11
mouse1_lib2.final_cell_0215,11
mouse1_lib2.final_cell_0216,11
mouse1_lib2.final_cell_0217,12
mouse1_lib2.final_cell_0218,3
mouse1_lib2.final_cell_0219,9
mouse1_lib2.final_cell_0220,9
mouse1_lib2.final_cell_0221,11
mouse1_lib2.final_cell_0222,11
mouse1_lib2.final_cell_0223,8
mouse1_lib2.final_cell_0224,11
mouse1_lib2.final_cell_0225,11
mouse1_lib2.final_cell_0226,3
mouse1_lib2.final_cell_0227,12
mouse1_lib2.final_cell_0228,1
mouse1_lib2.final_cell_0229,3
mouse1_lib2.final_cell_0230,11
mouse1_lib2.final_cell_0231,3
mouse1_lib2.final_cell_0232,11
mouse1_lib2.final_cell_0233,9
mouse1_lib2.final_cell_0234,9
mouse1_lib2.final_cell_0235,11
mouse1_lib2.final_cell_0236,11
mouse1_lib2.final_cell_0237,3
mouse1_lib2.final_cell_0238,11
mouse1_lib2.final_cell_0239,8
mouse1_lib2.final_cell_0240,3
mouse1_lib2.final_cell_0241,3
mouse1_lib2.final_cell_0242,11
mouse1_lib2.final_cell_0243,3
mouse1_lib2.final_cell_0244,2
mouse1_lib2.final_cell_0245,12
mouse1_lib2.final_cell_0246,11
mouse1_lib2.final_cell_0247,1
mouse1_lib2.final_cell_0248,8
mouse1_lib2.final_cell_0249,3
mouse1_lib2.final_cell_0250,9
mouse1_lib2.final_cell_0251,9
mouse1_lib2.final_cell_0252,11
mouse1_lib2.final_cell_0253,3
mouse1_lib2.final_cell_0254,11
mouse1_lib2.final_cell_0255,3
mouse1_lib2.final_cell_0256,11
mouse1_lib2.final_cell_0257,9
mouse1_lib2.final_cell_0258,8
mouse1_lib2.final_cell_0259,8
mouse1_lib2.final_cell_0260,9
mouse1_lib2.final_cell_0261,2
mouse1_lib2.final_cell_0262,3
mouse1_lib2.final_cell_0263,3
mouse1_lib2.final_cell_0264,11
mouse1_lib2.final_cell_0265,11
mouse1_lib2.final_cell_0266,8
mouse1_lib2.final_cell_0267,11
mouse1_lib2.final_cell_0268,11
mouse1_lib2.final_cell_0269,0
mouse1_lib2.final_cell_0270,3
mouse1_lib2.final_cell_0271,9
mouse1_lib2.final_cell_0272,6
mouse1_lib2.final_cell_0273,11
mouse1_lib2.final_cell_0274,3
mouse1_lib2.final_cell_0275,11
mouse1_lib2.final_cell_0276,11
mouse1_lib2.final_cell_0277,11
mouse1_lib2.final_cell_0278,11
mouse1_lib2.final_cell_0279,9
mouse1_lib2.final_cell_0280,9
mouse1_lib2.final_cell_0281,9
mouse1_lib2.final_cell_0282,9
mouse1_lib2.final_cell_0283,9
mouse1_lib2.final_cell_0284,9
mouse1_lib2.final_cell_0285,9
mouse1_lib2.final_cell_0286,9
mouse1_lib2.final_cell_0287,12
mouse1_lib2.final_cell_0288,3
mouse1_lib2.final_cell_0289,8
mouse1_lib2.final_cell_0290,9
mouse1_lib2.final_cell_0291,8
mouse1_lib3.final_cell_0001,11
mouse1_lib3.final_cell_0002,11
mouse1_lib3.final_cell_0003,9
mouse1_lib3.final_cell_0004,3
mouse1_lib3.final_cell_0005,2
mouse1_lib3.final_cell_0006,8
mouse1_lib3.final_cell_0007,11
mouse1_lib3.final_cell_0008,9
mouse1_lib3.final_cell_0009,11
mouse1_lib3.final_cell_0010,9
mouse1_lib3.final_cell_0011,9
mouse1_lib3.final_cell_0012,9
mouse1_lib3.final_cell_0013,9
mouse1_lib3.final_cell_0014,9
mouse1_lib3.final_cell_0015,9
mouse1_lib3.final_cell_0016,9
mouse1_lib3.final_cell_0017,9
mouse1_lib3.final_cell_0018,11
mouse1_lib3.final_cell_0019,9
mouse1_lib3.final_cell_0020,1
mouse1_lib3.final_cell_0021,3
mouse1_lib3.final_cell_0022,11
mouse1_lib3.final_cell_0023,11
mouse1_lib3.final_cell_0024,3
mouse1_lib3.final_cell_0025,9
mouse1_lib3.final_cell_0026,3
mouse1_lib3.final_cell_0027,12
mouse1_lib3.final_cell_0028,9
mouse1_lib3.final_cell_0029,9
mouse1_lib3.final_cell_0030,8
mouse1_lib3.final_cell_0031,9
mouse1_lib3.final_cell_0032,11
mouse1_lib3.final_cell_0033,9
mouse1_lib3.final_cell_0034,9
mouse1_lib3.final_cell_0035,9
mouse1_lib3.final_cell_0036,9
mouse1_lib3.final_cell_0037,9
mouse1_lib3.final_cell_0038,3
mouse1_lib3.final_cell_0039,11
mouse1_lib3.final_cell_0040,11
mouse1_lib3.final_cell_0041,9
mouse1_lib3.final_cell_0042,8
mouse1_lib3.final_cell_0043,8
mouse1_lib3.final_cell_0044,3
mouse1_lib3.final_cell_0045,3
mouse1_lib3.final_cell_0046,9
mouse1_lib3.final_cell_0047,11
mouse1_lib3.final_cell_0048,11
mouse1_lib3.final_cell_0049,11
mouse1_lib3.final_cell_0050,3
mouse1_lib3.final_cell_0051,11
mouse1_lib3.final_cell_0052,11
mouse1_lib3.final_cell_0053,11
mouse1_lib3.final_cell_0054,8
mouse1_lib3.final_cell_0055,8
mouse1_lib3.final_cell_0056,9
mouse1_lib3.final_cell_0057,12
mouse1_lib3.final_cell_0058,11
mouse1_lib3.final_cell_0059,11
mouse1_lib3.final_cell_0060,11
mouse1_lib3.final_cell_0061,11
mouse1_lib3.final_cell_0062,11
mouse1_lib3.final_cell_0063,9
mouse1_lib3.final_cell_0064,9
mouse1_lib3.final_cell_0065,11
mouse1_lib3.final_cell_0066,11
mouse1_lib3.final_cell_0067,9
mouse1_lib3.final_cell_0068,11
mouse1_lib3.final_cell_0069,11
mouse1_lib3.final_cell_0070,9
mouse1_lib3.final_cell_0071,9
mouse1_lib3.final_cell_0072,9
mouse1_lib3.final_cell_0073,9
mouse1_lib3.final_cell_0074,11
mouse1_lib3.final_cell_0075,11
mouse1_lib3.final_cell_0076,9
mouse1_lib3.final_cell_0077,11
mouse1_lib3.final_cell_0078,0
mouse1_lib3.final_cell_0079,5
mouse1_lib3.final_cell_0080,11
mouse1_lib3.final_cell_0081,11
mouse1_lib3.final_cell_0082,9
mouse1_lib3.final_cell_0083,11
mouse1_lib3.final_cell_0084,11
mouse1_lib3.final_cell_0085,12
mouse1_lib3.final_cell_0086,9
mouse1_lib3.final_cell_0087,9
mouse1_lib3.final_cell_0088,3
mouse1_lib3.final_cell_0089,9
mouse1_lib3.final_cell_0090,9
mouse1_lib3.final_cell_0091,9
mouse1_lib3.final_cell_0092,11
mouse1_lib3.final_cell_0093,11
mouse1_lib3.final_cell_0094,11
mouse1_lib3.final_cell_0095,12
mouse1_lib3.final_cell_0096,8
mouse1_lib3.final_cell_0097,6
mouse1_lib3.final_cell_0098,11
mouse1_lib3.final_cell_0099,9
mouse1_lib3.final_cell_0100,11
mouse1_lib3.final_cell_0101,8
mouse1_lib3.final_cell_0102,11
mouse1_lib3.final_cell_0103,1
mouse1_lib3.final_cell_0104,8
mouse1_lib3.final_cell_0105,11
mouse1_lib3.final_cell_0106,11
mouse1_lib3.final_cell_0107,11
mouse1_lib3.final_cell_0108,11
mouse1_lib3.final_cell_0109,4
mouse1_lib3.final_cell_0110,11
mouse1_lib3.final_cell_0111,11
mouse1_lib3.final_cell_0112,11
mouse1_lib3.final_cell_0113,11
mouse1_lib3.final_cell_0114,3
mouse1_lib3.final_cell_0115,11
mouse1_lib3.final_cell_0116,8
mouse1_lib3.final_cell_0117,11
mouse1_lib3.final_cell_0118,11
mouse1_lib3.final_cell_0119,9
mouse1_lib3.final_cell_0120,3
mouse1_lib3.final_cell_0121,3
mouse1_lib3.final_cell_0122,11
mouse1_lib3.final_cell_0123,3
mouse1_lib3.final_cell_0124,11
mouse1_lib3.final_cell_0125,8
mouse1_lib3.final_cell_0126,3
mouse1_lib3.final_cell_0127,9
mouse1_lib3.final_cell_0128,8
mouse1_lib3.final_cell_0129,11
mouse1_lib3.final_cell_0130,11
mouse1_lib3.final_cell_0131,11
mouse1_lib3.final_cell_0132,11
mouse1_lib3.final_cell_0133,3
mouse1_lib3.final_cell_0134,9
mouse1_lib3.final_cell_0135,11
mouse1_lib3.final_cell_0136,3
mouse1_lib3.final_cell_0137,11
mouse1_lib3.final_cell_0138,11
mouse1_lib3.final_cell_0139,11
mouse1_lib3.final_cell_0140,11
mouse1_lib3.final_cell_0141,11
mouse1_lib3.final_cell_0142,11
mouse1_lib3.final_cell_0143,11
mouse1_lib3.final_cell_0144,3
mouse1_lib3.final_cell_0145,9
mouse1_lib3.final_cell_0146,11
mouse1_lib3.final_cell_0147,11
mouse1_lib3.final_cell_0148,12
mouse1_lib3.final_cell_0149,9
mouse1_lib3.final_cell_0150,3
mouse1_lib3.final_cell_0151,11
mouse1_lib3.final_cell_0152,11
mouse1_lib3.final_cell_0153,11
mouse1_lib3.final_cell_0154,9
mouse1_lib3.final_cell_0155,11
mouse1_lib3.final_cell_0156,9
mouse1_lib3.final_cell_0157,9
mouse1_lib3.final_cell_0158,9
mouse1_lib3.final_cell_0159,11
mouse1_lib3.final_cell_0160,11
mouse1_lib3.final_cell_0161,9
mouse1_lib3.final_cell_0162,3
mouse1_lib3.final_cell_0163,8
mouse1_lib3.final_cell_0164,9
mouse1_lib3.final_cell_0165,11
mouse1_lib3.final_cell_0166,9
mouse1_lib3.final_cell_0167,9
mouse1_lib3.final_cell_0168,3
